hardware,benchmark_level,algorithm,qubits,compiler,opt_level,run,gate_count,depth,compile_time,2q_gates,swap_gates,initial,success
ibm_eagle_127,ALG,vqe_real_amp,4,Qiskit,3,0,99,40,0.07282733917236328,9,0,"{'gate_count': 28, 'depth': 12, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Qiskit,0,0,155,60,0.062181949615478516,9,0,"{'gate_count': 28, 'depth': 12, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Qiskit,0,0,192,107,0.07894659042358398,33,0,"{'gate_count': 4, 'depth': 2, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Qiskit,3,0,94,62,0.08265376091003418,18,0,"{'gate_count': 4, 'depth': 2, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Cirq,0,0,35,16,0.12812519073486328,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Cirq,3,0,35,16,0.1352839469909668,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Cirq,3,0,61,32,0.15585875511169434,23,5,"{'gate_count': 5, 'depth': 2, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Cirq,0,0,65,34,0.16938090324401855,27,9,"{'gate_count': 5, 'depth': 2, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Cirq,3,0,24,17,0.08589386940002441,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Cirq,0,0,24,17,0.0989532470703125,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Qiskit,0,0,120,59,0.05476021766662598,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Qiskit,3,0,75,40,0.07360267639160156,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Qiskit,0,0,856,516,0.03345322608947754,135,0,"{'gate_count': 15, 'depth': 9, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Cirq,0,0,15,8,0.05352592468261719,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Qiskit,3,0,465,280,0.16737627983093262,83,0,"{'gate_count': 15, 'depth': 9, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Pytket,0,0,20,15,0.39890170097351074,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Pytket,0,0,29,12,0.5094339847564697,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Pytket,3,0,37,23,0.5045046806335449,13,1,"{'gate_count': 5, 'depth': 2, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Cirq,3,0,15,8,0.04923820495605469,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Pytket,3,0,20,15,0.4010910987854004,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Pytket,3,0,29,12,0.5335538387298584,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Pytket,0,0,132,53,0.5056791305541992,106,97,"{'gate_count': 5, 'depth': 2, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Qiskit,0,0,30,12,0.0381014347076416,3,0,"{'gate_count': 7, 'depth': 5, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Qiskit,3,0,22,10,0.04811835289001465,3,0,"{'gate_count': 7, 'depth': 5, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Cirq,0,0,False
ibm_eagle_127,ALG,randomcircuit,4,Cirq,3,0,False
ibm_eagle_127,ALG,qft,5,Qiskit,0,0,308,155,0.011328697204589844,53,0,"{'gate_count': 5, 'depth': 2, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Pytket,0,0,8,5,0.15765810012817383,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Pytket,3,0,8,5,0.17504286766052246,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Cirq,0,0,92,52,0.18788504600524902,40,14,"{'gate_count': 6, 'depth': 2, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,5,Qiskit,0,0,200,67,0.013710498809814453,12,0,"{'gate_count': 36, 'depth': 13, 'compile_time': '-', '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Cirq,3,0,92,49,0.21565556526184082,40,14,"{'gate_count': 6, 'depth': 2, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Qiskit,3,0,168,93,0.1845259666442871,30,0,"{'gate_count': 5, 'depth': 2, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,5,Cirq,3,0,46,18,0.14183712005615234,12,0,"{'gate_count': 37, 'depth': 13, 'compile_time': '-', '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,5,Qiskit,3,0,131,44,0.03527975082397461,12,0,"{'gate_count': 36, 'depth': 13, 'compile_time': '-', '2q_gates': 12, 'swap_gates': 0}",True
