hardware,benchmark_level,algorithm,qubits,compiler,opt_level,run,gate_count,depth,compile_time,2q_gates,swap_gates,initial,success
ibm_eagle_127,ALG,randomcircuit,10,Pytket,3,0,1087,482,0.26499414443969727,517,222,"{'gate_count': 87, 'depth': 21, 'compile_time': '-', '2q_gates': 7, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,16,Qiskit,3,0,331,106,0.07896947860717773,283,0,"{'gate_count': 162, 'depth': 34, 'compile_time': '-', '2q_gates': 114, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,5,Qiskit,3,0,133,96,0.030170679092407227,71,1,"{'gate_count': 24, 'depth': 11, 'compile_time': '-', '2q_gates': 15, 'swap_gates': 1}",True
ibm_eagle_127,ALG,ghz,16,Qiskit,3,0,34,20,0.010341882705688477,18,0,"{'gate_count': 31, 'depth': 17, 'compile_time': '-', '2q_gates': 15, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,16,Pytket,3,0,579,216,0.15506720542907715,417,189,"{'gate_count': 162, 'depth': 34, 'compile_time': '-', '2q_gates': 114, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,20,Qiskit,3,0,488,168,0.07839608192443848,449,0,"{'gate_count': 20, 'depth': 2, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Qiskit,3,0,133,106,0.016403913497924805,61,0,"{'gate_count': 15, 'depth': 9, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Pytket,3,0,29,12,0.03722667694091797,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,16,Pytket,3,0,32,17,0.03851437568664551,14,0,"{'gate_count': 32, 'depth': 17, 'compile_time': '-', '2q_gates': 15, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,20,Cirq,3,0,-,-,-,-,-,-,False
ibm_eagle_127,ALG,qaoa,5,Cirq,3,0,72,34,0.131608247756958,30,6,"{'gate_count': 27, 'depth': 10, 'compile_time': '-', '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,16,Cirq,3,0,63,32,0.10762333869934082,15,0,"{'gate_count': 32, 'depth': 17, 'compile_time': '-', '2q_gates': 15, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,5,Pytket,3,0,37,13,0.036840200424194336,12,0,"{'gate_count': 37, 'depth': 13, 'compile_time': '-', '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,15,Cirq,3,0,-,-,-,-,-,-,False
ibm_eagle_127,ALG,vqe_real_amp,5,Qiskit,3,0,36,13,0.024758338928222656,12,0,"{'gate_count': 36, 'depth': 13, 'compile_time': '-', '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,5,Pytket,3,0,188,121,0.05929970741271973,80,19,"{'gate_count': 25, 'depth': 11, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 1}",True
ibm_eagle_127,ALG,randomcircuit,16,Cirq,3,0,-,-,-,-,-,-,False
