hardware,benchmark_level,algorithm,qubits,compiler,opt_level,run,gate_count,depth,compile_time,2q_gates,swap_gates,initial,success
ibm_eagle_127,INDEP,ghz,25,Pytket,3,0,70,27,0.05854463577270508,43,20,"{'gate_count': 50, 'depth': 26, 'compile_time': '-', '2q_gates': 24, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,qft,16,Cirq,3,0,1084,390,1.403245449066162,636,396,"{'gate_count': 152, 'depth': 32, 'compile_time': '-', '2q_gates': 120, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,ghz,20,Pytket,3,0,40,21,0.04109048843383789,18,0,"{'gate_count': 40, 'depth': 21, 'compile_time': '-', '2q_gates': 19, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,ghz,8,Pytket,3,0,16,9,0.04720950126647949,7,0,"{'gate_count': 16, 'depth': 9, 'compile_time': '-', '2q_gates': 7, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,ghz,25,Qiskit,3,0,54,31,0.08319783210754395,29,0,"{'gate_count': 49, 'depth': 26, 'compile_time': '-', '2q_gates': 24, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,vqe_real_amp,32,Cirq,3,0,467,127,0.6762938499450684,169,76,"{'gate_count': 253, 'depth': 40, 'compile_time': '-', '2q_gates': 93, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,ghz,5,Cirq,3,0,19,10,0.05132102966308594,4,0,"{'gate_count': 10, 'depth': 6, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,randomcircuit,25,Qiskit,3,0,7390,2108,0.3463597297668457,4338,0,"{'gate_count': 489, 'depth': 51, 'compile_time': '-', '2q_gates': 363, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,qft,15,Cirq,3,0,889,312,1.1339523792266846,495,285,"{'gate_count': 135, 'depth': 30, 'compile_time': '-', '2q_gates': 105, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,vqe_real_amp,8,Pytket,3,0,61,16,0.0368349552154541,21,0,"{'gate_count': 61, 'depth': 16, 'compile_time': '-', '2q_gates': 21, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,qft,20,Pytket,3,0,1171,235,0.46980810165405273,561,181,"{'gate_count': 230, 'depth': 40, 'compile_time': '-', '2q_gates': 190, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,qaoa,8,Pytket,3,0,138,81,0.04321646690368652,86,30,"{'gate_count': 52, 'depth': 20, 'compile_time': '-', '2q_gates': 28, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,qaoa,10,Qiskit,3,0,135,72,0.034178733825683594,105,0,"{'gate_count': 82, 'depth': 26, 'compile_time': '-', '2q_gates': 52, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,ghz,5,Qiskit,3,0,9,6,0.007989883422851562,4,0,"{'gate_count': 9, 'depth': 6, 'compile_time': '-', '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,randomcircuit,4,Cirq,3,0,False
ibm_eagle_127,INDEP,vqe_real_amp,10,Pytket,3,0,77,18,0.046662330627441406,27,0,"{'gate_count': 77, 'depth': 18, 'compile_time': '-', '2q_gates': 27, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,vqe_real_amp,32,Pytket,3,0,314,76,0.1589488983154297,148,61,"{'gate_count': 253, 'depth': 40, 'compile_time': '-', '2q_gates': 93, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,qft,15,Qiskit,3,0,239,80,0.059021711349487305,210,0,"{'gate_count': 134, 'depth': 30, 'compile_time': '-', '2q_gates': 105, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,vqe_real_amp,20,Pytket,3,0,158,32,0.06990861892700195,57,1,"{'gate_count': 157, 'depth': 28, 'compile_time': '-', '2q_gates': 57, 'swap_gates': 0}",True
ibm_eagle_127,INDEP,randomcircuit,10,Cirq,3,0,False
