hardware,benchmark_level,algorithm,qubits,compiler,opt_level,run,gate_count,depth,compile_time,2q_gates,swap_gates,initial,success
ionq_forte_36,NATIVEGATES,qft,15,Pytket,3,0,3570,716,0.43225860595703125,420,0,"{'gate_count': 1845, 'depth': 359, 'compile_time': '-', '2q_gates': 210, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,ghz,25,Qiskit,3,0,195,100,0.026488065719604492,24,0,"{'gate_count': 195, 'depth': 100, 'compile_time': '-', '2q_gates': 24, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,randomcircuit,20,Cirq,3,0,4657,1025,16.152733087539673,1466,0,"{'gate_count': 14236, 'depth': 2756, 'compile_time': '-', '2q_gates': 1508, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,qft,20,Pytket,3,0,6410,976,0.924100399017334,760,0,"{'gate_count': 3310, 'depth': 489, 'compile_time': '-', '2q_gates': 380, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,ghz,8,Cirq,3,0,37,16,0.07572770118713379,7,0,"{'gate_count': 60, 'depth': 32, 'compile_time': '-', '2q_gates': 7, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,ghz,32,Pytket,3,0,503,286,0.06908178329467773,62,0,"{'gate_count': 252, 'depth': 128, 'compile_time': '-', '2q_gates': 31, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,qft,32,Pytket,3,0,14378,1600,2.359198570251465,1720,0,"{'gate_count': 7402, 'depth': 801, 'compile_time': '-', '2q_gates': 860, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,ghz,20,Cirq,3,0,97,40,0.21477913856506348,19,0,"{'gate_count': 156, 'depth': 80, 'compile_time': '-', '2q_gates': 19, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,qft,20,Cirq,3,0,1161,185,3.674842596054077,380,0,"{'gate_count': 3310, 'depth': 489, 'compile_time': '-', '2q_gates': 380, 'swap_gates': 0}",True
ionq_forte_36,NATIVEGATES,ghz,10,Cirq,3,0,47,20,0.08868861198425293,9,0,"{'gate_count': 76, 'depth': 40, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
