hardware,benchmark_level,algorithm,qubits,compiler,opt_level,run,gate_count,depth,compile_time,2q_gates,swap_gates,initial,success
ibm_falcon_27,ALG,ae,4,Cirq,3,0,-,-,-,-,-,-,False
ibm_falcon_27,ALG,ae,4,Pytket,3,0,121,96,0.009306192398071289,30,4,"{'gate_count': 13, 'depth': 7, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_falcon_27,ALG,ae,4,Qiskit,3,0,20,14,0.0036437511444091797,10,0,"{'gate_count': 12, 'depth': 7, 'compile_time': '-', '2q_gates': 5, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bmw_quark_cardinality,4,Cirq,3,0,61,34,0.0552678108215332,18,0,"{'gate_count': 41, 'depth': 15, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bmw_quark_cardinality,4,Pytket,3,0,164,92,0.006060123443603516,23,5,"{'gate_count': 41, 'depth': 17, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bmw_quark_cardinality,4,Qiskit,3,0,34,17,0.0016732215881347656,9,0,"{'gate_count': 34, 'depth': 17, 'compile_time': '-', '2q_gates': 9, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bmw_quark_copula,4,Cirq,3,0,30,12,0.030344247817993164,10,4,"{'gate_count': 36, 'depth': 11, 'compile_time': '-', '2q_gates': 6, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bmw_quark_copula,4,Pytket,3,0,98,42,0.0041387081146240234,12,2,"{'gate_count': 36, 'depth': 11, 'compile_time': '-', '2q_gates': 6, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bmw_quark_copula,4,Qiskit,3,0,33,12,0.0016295909881591797,7,0,"{'gate_count': 32, 'depth': 11, 'compile_time': '-', '2q_gates': 6, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bv,4,Cirq,3,0,7,4,0.007689952850341797,1,0,"{'gate_count': 11, 'depth': 4, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bv,4,Pytket,3,0,29,9,0.0017631053924560547,1,0,"{'gate_count': 11, 'depth': 4, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_falcon_27,ALG,bv,4,Qiskit,3,0,11,4,0.001371145248413086,1,0,"{'gate_count': 11, 'depth': 4, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_falcon_27,ALG,cdkm_ripple_carry_adder,4,Cirq,3,0,77,52,0.07840847969055176,25,4,"{'gate_count': 7, 'depth': 4, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_falcon_27,ALG,cdkm_ripple_carry_adder,4,Pytket,3,0,50,43,0.002172231674194336,20,3,"{'gate_count': 7, 'depth': 4, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_falcon_27,ALG,cdkm_ripple_carry_adder,4,Qiskit,3,0,41,33,0.0019648075103759766,20,0,"{'gate_count': 6, 'depth': 4, 'compile_time': '-', '2q_gates': 3, 'swap_gates': 0}",True
ibm_falcon_27,ALG,dj,4,Cirq,3,0,13,8,0.017251014709472656,3,0,"{'gate_count': 12, 'depth': 5, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_falcon_27,ALG,dj,4,Pytket,3,0,34,21,0.0013189315795898438,5,2,"{'gate_count': 12, 'depth': 5, 'compile_time': '-', '2q_gates': 0, 'swap_gates': 0}",True
ibm_falcon_27,ALG,dj,4,Qiskit,3,0,17,7,0.0016491413116455078,3,0,"{'gate_count': 11, 'depth': 5, 'compile_time': '-', '2q_gates': 1, 'swap_gates': 0}",True
ibm_falcon_27,ALG,draper_qft_adder,4,Cirq,3,0,32,24,0.024383544921875,15,7,"{'gate_count': 9, 'depth': 6, 'compile_time': '-', '2q_gates': 5, 'swap_gates': 0}",True
