hardware,benchmark_level,algorithm,qubits,compiler,opt_level,run,gate_count,depth,compile_time,2q_gates,swap_gates,initial,success
ibm_eagle_127,ALG,qft,4,Qiskit,3,0,99,68,0.048436880111694336,18,0,"{'gate_count': 4, 'depth': 2, 'compile_time': , '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Qiskit,3,0,99,40,0.01012563705444336,9,0,"{'gate_count': 28, 'depth': 12, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Cirq,3,0,53,29,0.10266995429992676,23,5,"{'gate_count': 5, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Cirq,3,0,35,16,0.0871734619140625,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Cirq,3,0,24,17,0.06769609451293945,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Qiskit,3,0,75,40,0.0426943302154541,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Pytket,3,0,33,21,0.3477921485900879,12,0,"{'gate_count': 5, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Pytket,3,0,20,15,0.25127577781677246,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Pytket,3,0,29,12,0.33079051971435547,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Cirq,3,0,,,,,,,False
ibm_eagle_127,ALG,randomcircuit,4,Qiskit,3,0,463,283,0.05066490173339844,83,0,"{'gate_count': 15, 'depth': 9, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Qiskit,3,0,22,10,0.012628316879272461,3,0,"{'gate_count': 7, 'depth': 5, 'compile_time': , '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Cirq,3,0,14,8,0.041773319244384766,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': , '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Qiskit,3,0,167,98,0.0327908992767334,30,0,"{'gate_count': 5, 'depth': 2, 'compile_time': , '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Pytket,3,0,8,5,0.12041950225830078,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': , '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Cirq,3,0,80,45,0.12158989906311035,40,14,"{'gate_count': 6, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,5,Qiskit,3,0,131,44,0.011126518249511719,12,0,"{'gate_count': 36, 'depth': 13, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,5,Cirq,3,0,46,18,0.12089395523071289,12,0,"{'gate_count': 37, 'depth': 13, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,5,Cirq,3,0,66,35,0.10544109344482422,30,6,"{'gate_count': 27, 'depth': 10, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,5,Qiskit,3,0,222,121,0.01428675651550293,33,0,"{'gate_count': 27, 'depth': 10, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,5,Cirq,3,0,,,,,,,False
ibm_eagle_127,ALG,vqe_real_amp,5,Pytket,3,0,37,13,0.5660278797149658,12,0,"{'gate_count': 37, 'depth': 13, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Pytket,3,0,52,29,0.6537244319915771,20,0,"{'gate_count': 6, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,5,Qiskit,3,0,559,320,0.0619351863861084,118,1,"{'gate_count': 24, 'depth': 11, 'compile_time': , '2q_gates': 15, 'swap_gates': 1}",True
ibm_eagle_127,ALG,ghz,5,Cirq,3,0,18,10,0.03631019592285156,4,0,"{'gate_count': 10, 'depth': 6, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,5,Qiskit,3,0,29,12,0.00931859016418457,4,0,"{'gate_count': 9, 'depth': 6, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,5,Pytket,3,0,10,6,0.14370965957641602,4,0,"{'gate_count': 10, 'depth': 6, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Pytket,3,0,99,78,1.2610902786254883,45,0,"{'gate_count': 16, 'depth': 9, 'compile_time': , '2q_gates': 2, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,8,Qiskit,3,0,525,239,0.028877973556518555,108,0,"{'gate_count': 8, 'depth': 2, 'compile_time': , '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,8,Cirq,3,0,230,104,0.27523279190063477,135,67,"{'gate_count': 9, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,5,Pytket,3,0,54,28,0.8884634971618652,24,0,"{'gate_count': 27, 'depth': 10, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,8,Qiskit,3,0,228,59,0.011952638626098633,21,0,"{'gate_count': 60, 'depth': 16, 'compile_time': , '2q_gates': 21, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,8,Cirq,3,0,79,24,0.1856689453125,21,0,"{'gate_count': 61, 'depth': 16, 'compile_time': , '2q_gates': 21, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,8,Cirq,3,0,186,108,0.23421740531921387,117,61,"{'gate_count': 52, 'depth': 20, 'compile_time': , '2q_gates': 28, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,8,Qiskit,3,0,559,227,0.02159595489501953,105,0,"{'gate_count': 52, 'depth': 20, 'compile_time': , '2q_gates': 28, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,8,Cirq,3,0,,,,,,,False
ibm_eagle_127,ALG,vqe_real_amp,8,Pytket,3,0,61,16,0.9515612125396729,21,0,"{'gate_count': 61, 'depth': 16, 'compile_time': , '2q_gates': 21, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,8,Qiskit,3,0,2268,967,0.06772208213806152,481,0,"{'gate_count': 53, 'depth': 17, 'compile_time': , '2q_gates': 36, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,5,Pytket,3,0,128,85,1.8455102443695068,57,0,"{'gate_count': 25, 'depth': 11, 'compile_time': , '2q_gates': 9, 'swap_gates': 1}",True
ibm_eagle_127,ALG,ghz,8,Cirq,3,0,30,16,0.05173945426940918,7,0,"{'gate_count': 16, 'depth': 9, 'compile_time': , '2q_gates': 7, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,8,Qiskit,3,0,50,18,0.010964632034301758,7,0,"{'gate_count': 15, 'depth': 9, 'compile_time': , '2q_gates': 7, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,8,Pytket,3,0,16,9,0.20213007926940918,7,0,"{'gate_count': 16, 'depth': 9, 'compile_time': , '2q_gates': 7, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,10,Cirq,3,0,346,141,0.4105374813079834,207,102,"{'gate_count': 11, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,8,Pytket,3,0,128,53,1.885995626449585,56,0,"{'gate_count': 9, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
