hardware,benchmark_level,algorithm,qubits,compiler,opt_level,run,gate_count,depth,compile_time,2q_gates,swap_gates,initial,success
ibm_eagle_127,ALG,qft,4,Qiskit,3,0,18,12,0.006816387176513672,11,5,"{'gate_count': 4, 'depth': 2, 'compile_time': , '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Qiskit,3,0,28,12,0.006650447845458984,9,0,"{'gate_count': 28, 'depth': 12, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Qiskit,3,0,16,7,0.007340192794799805,4,0,"{'gate_count': 16, 'depth': 7, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Pytket,3,0,48,32,0.0392756462097168,22,4,"{'gate_count': 5, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Qiskit,3,0,133,106,0.00806736946105957,61,14,"{'gate_count': 15, 'depth': 9, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Pytket,3,0,29,12,0.036370277404785156,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Pytket,3,0,24,15,0.037627458572387695,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,4,Cirq,3,0,64,34,0.0996558666229248,23,5,"{'gate_count': 5, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Qiskit,3,0,7,5,0.004969596862792969,3,0,"{'gate_count': 7, 'depth': 5, 'compile_time': , '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,4,Cirq,3,0,25,17,0.061466217041015625,8,0,"{'gate_count': 16, 'depth': 7, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Pytket,3,0,8,5,0.030653953552246094,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': , '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,4,Cirq,3,0,38,17,0.0888361930847168,9,0,"{'gate_count': 29, 'depth': 12, 'compile_time': , '2q_gates': 9, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,4,Pytket,3,0,176,139,0.0478665828704834,64,12,"{'gate_count': 16, 'depth': 9, 'compile_time': , '2q_gates': 2, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Qiskit,3,0,26,18,0.008326053619384766,17,7,"{'gate_count': 5, 'depth': 2, 'compile_time': , '2q_gates': 1, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,4,Cirq,3,0,15,8,0.04848003387451172,3,0,"{'gate_count': 8, 'depth': 5, 'compile_time': , '2q_gates': 3, 'swap_gates': 0}",True
ibm_eagle_127,ALG,vqe_real_amp,5,Qiskit,3,0,36,13,0.008689403533935547,12,0,"{'gate_count': 36, 'depth': 13, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,5,Qiskit,3,0,30,16,0.006223917007446289,15,3,"{'gate_count': 27, 'depth': 10, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qft,5,Pytket,3,0,75,46,0.03952527046203613,35,9,"{'gate_count': 6, 'depth': 2, 'compile_time': , '2q_gates': 0, 'swap_gates': 0}",True
ibm_eagle_127,ALG,qaoa,5,Pytket,3,0,55,31,0.03141474723815918,28,4,"{'gate_count': 27, 'depth': 10, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,5,Cirq,3,0,,,,,,,False
ibm_eagle_127,ALG,vqe_real_amp,5,Pytket,3,0,37,13,0.03438687324523926,12,0,"{'gate_count': 37, 'depth': 13, 'compile_time': , '2q_gates': 12, 'swap_gates': 0}",True
ibm_eagle_127,ALG,randomcircuit,5,Qiskit,3,0,133,96,0.010901689529418945,71,22,"{'gate_count': 24, 'depth': 11, 'compile_time': , '2q_gates': 15, 'swap_gates': 1}",True
ibm_eagle_127,ALG,ghz,5,Qiskit,3,0,9,6,0.0060231685638427734,4,0,"{'gate_count': 9, 'depth': 6, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
ibm_eagle_127,ALG,ghz,5,Pytket,3,0,10,6,0.03379464149475098,4,0,"{'gate_count': 10, 'depth': 6, 'compile_time': , '2q_gates': 4, 'swap_gates': 0}",True
